data	INT_EPISODIO	dia_semana	feriado	festas	mean_x	mean_y	Precipitacao diaria (mm)	Velocidade do vento media diaria (m/s)
2017-01-01	2.0	Sunday	Ano Novo		-2.9284865856200004	7.80228291617	5.7	0.0
2017-01-02	0	Monday			6.62805573146	12.7060519324	0.1	0.0
2017-01-03	2.0	Tuesday			7.401039759319999	11.7832220925	0.0	0.5
2017-01-04	3.0	Wednesday			5.22663810518	14.7973506716	0.0	0.8
2017-01-05	3.0	Thursday			2.70409459538	17.2578792572	0.1	1.2
2017-01-06	2.0	Friday			11.8193144268	24.589542600799998	0.0	0.8
2017-01-07	0	Saturday			7.37138758765	24.498348448	0.0	1.0
2017-01-08	1.0	Sunday			9.79166899787	24.8760645125	0.0	0.7
2017-01-09	1.0	Monday			12.7667871051	27.959114922399998	0.0	0.5
2017-01-10	0	Tuesday			11.2327203751	29.035245683499998	0.0	0.4
2017-01-11	2.0	Wednesday			7.240140597030001	19.2259165446	0.1	0.1
2017-01-12	1.0	Thursday			-1.14868838257	11.335613674600001	3.9	0.0
2017-01-13	0	Friday			1.9412913454900005	10.2532755534	1.7	0.2
2017-01-14	0	Saturday			-1.3428582085499998	10.8038327959	1.2	0.3
2017-01-15	0	Sunday			-1.50306757291	12.252422438699998	6.7	0.1
2017-01-16	4.0	Monday			-0.324954188532	13.8555237452	2.3	0.2
2017-01-17	1.0	Tuesday			0.4460175799	16.1737911436	0.3	0.0
2017-01-18	1.0	Wednesday			-0.319941281962	7.140221277869999	0.1	0.1
2017-01-19	0	Thursday			-1.51986514197	7.91651736365	0.0	0.3
2017-01-20	1.0	Friday			0.903609424829	10.5473157035	0.0	0.1
2017-01-21	0	Saturday			0.7545066641439999	12.2750563092	0.0	0.2
2017-01-22	1.0	Sunday			-1.7913248141599998	12.079764154200001	0.0	0.1
2017-01-23	1.0	Monday			-1.14744961262	12.439872	0.0	0.1
2017-01-24	0	Tuesday			-2.3513123989099998	13.2010091146	0.0	0.1
2017-01-25	3.0	Wednesday			-2.5063540935499997	12.3993177414	0.0	0.1
2017-01-26	0	Thursday			4.34629487991	9.34236017863	0.1	0.1
2017-01-27	2.0	Friday			3.5402811368300005	8.6893775728	3.8	0.2
2017-01-28	0	Saturday			3.26331729359	12.1044186486	0.1	0.2
2017-01-29	0	Sunday			7.8425171110399985	12.9693830278	0.2	0.2
2017-01-30	1.0	Monday			10.0705734889	12.7020041148	1.7	0.5
2017-01-31	1.0	Tuesday			8.274899800619997	11.7299861908	0.0	0.2
2017-02-01	1.0	Wednesday			2.9064229594300004	10.2993408839	10.6	0.2
2017-02-02	2.0	Thursday			6.9072351985500005	12.1149485906	0.1	1.2
2017-02-03	0	Friday			8.41851478153	13.9754081302	0.1	0.3
2017-02-04	1.0	Saturday			2.55105876923	19.7841584947	0.0	0.8
2017-02-05	1.0	Sunday			5.20109727648	23.388645596	0.0	0.5
2017-02-06	1.0	Monday			11.8734912872	23.1020336151	0.0	0.7
2017-02-07	2.0	Tuesday			11.8077687158	32.0998575422	0.0	0.7
2017-02-08	2.0	Wednesday			9.51942369673	27.614761776399998	0.0	0.7
