data,dia_semana,feriado,festas
1/1/2018,Monday,Ano Novo,
1/2/2018,Tuesday,,
1/3/2018,Wednesday,,
1/4/2018,Thursday,,
1/5/2018,Friday,,
1/6/2018,Saturday,,
1/7/2018,Sunday,,
1/8/2018,Monday,,
1/9/2018,Tuesday,,
1/10/2018,Wednesday,,
1/11/2018,Thursday,,
1/12/2018,Friday,,
1/13/2018,Saturday,,
1/14/2018,Sunday,,
1/15/2018,Monday,,
1/16/2018,Tuesday,,
1/17/2018,Wednesday,,
1/18/2018,Thursday,,
1/19/2018,Friday,,
1/20/2018,Saturday,,
1/21/2018,Sunday,,
1/22/2018,Monday,,
1/23/2018,Tuesday,,
1/24/2018,Wednesday,,
1/25/2018,Thursday,,
1/26/2018,Friday,,
1/27/2018,Saturday,,
1/28/2018,Sunday,,
1/29/2018,Monday,,
1/30/2018,Tuesday,,
1/31/2018,Wednesday,,
2/1/2018,Thursday,,
2/2/2018,Friday,,
2/3/2018,Saturday,,
2/4/2018,Sunday,,
2/5/2018,Monday,,
2/6/2018,Tuesday,,
2/7/2018,Wednesday,,
2/8/2018,Thursday,,
2/9/2018,Friday,,
2/10/2018,Saturday,,
2/11/2018,Sunday,,
2/12/2018,Monday,,
2/13/2018,Tuesday,Carnaval,
2/14/2018,Wednesday,,
2/15/2018,Thursday,,
2/16/2018,Friday,,
2/17/2018,Saturday,,
2/18/2018,Sunday,,
2/19/2018,Monday,,
2/20/2018,Tuesday,,
2/21/2018,Wednesday,,
2/22/2018,Thursday,,
2/23/2018,Friday,,
2/24/2018,Saturday,,
2/25/2018,Sunday,,
2/26/2018,Monday,,
2/27/2018,Tuesday,,
2/28/2018,Wednesday,,
3/1/2018,Thursday,,
3/2/2018,Friday,,
3/3/2018,Saturday,,
3/4/2018,Sunday,,
3/5/2018,Monday,,
3/6/2018,Tuesday,,
3/7/2018,Wednesday,,
3/8/2018,Thursday,,
3/9/2018,Friday,,
3/10/2018,Saturday,,
3/11/2018,Sunday,,
3/12/2018,Monday,,
3/13/2018,Tuesday,,
3/14/2018,Wednesday,,
3/15/2018,Thursday,,
3/16/2018,Friday,,
3/17/2018,Saturday,,
3/18/2018,Sunday,,
3/19/2018,Monday,,
3/20/2018,Tuesday,,
3/21/2018,Wednesday,,
3/22/2018,Thursday,,
3/23/2018,Friday,,
3/24/2018,Saturday,,
3/25/2018,Sunday,,
3/26/2018,Monday,,
3/27/2018,Tuesday,,
3/28/2018,Wednesday,,
3/29/2018,Thursday,,Endoencas
3/30/2018,Friday,Sexta Feira Santa,
3/31/2018,Saturday,,
4/1/2018,Sunday,Domingo de Pascoa,
4/2/2018,Monday,Segunda-feira de Pascoa,
4/3/2018,Tuesday,,
4/4/2018,Wednesday,,
4/5/2018,Thursday,,
4/6/2018,Friday,,
4/7/2018,Saturday,,
4/8/2018,Sunday,,
4/9/2018,Monday,,
4/10/2018,Tuesday,,
4/11/2018,Wednesday,,
4/12/2018,Thursday,,
4/13/2018,Friday,,
4/14/2018,Saturday,,
4/15/2018,Sunday,,
4/16/2018,Monday,,
4/17/2018,Tuesday,,
4/18/2018,Wednesday,,
4/19/2018,Thursday,,
4/20/2018,Friday,,
4/21/2018,Saturday,,
4/22/2018,Sunday,,
4/23/2018,Monday,,
4/24/2018,Tuesday,,
4/25/2018,Wednesday,Dia da liberdade,
