,data,dia_semana,feriado,festas,feriado - dia anterior,feriado - 2 dias anteriores,feriado - dia seguinte,feriado - daqui a 2 dias,festas - dia anterior,festas - 2 dias anteriores,festas - dia seguinte,festas - daqui a 2 dias
0,2018-01-01,Monday,Ano Novo,,n,n,,,n,n,,
1,2018-01-02,Tuesday,,,Ano Novo,n,,,,n,,
2,2018-01-03,Wednesday,,,,Ano Novo,,,,,,
3,2018-01-04,Thursday,,,,,,,,,,
4,2018-01-05,Friday,,,,,,,,,,
5,2018-01-06,Saturday,,,,,,,,,,
6,2018-01-07,Sunday,,,,,,,,,,
7,2018-01-08,Monday,,,,,,,,,,
8,2018-01-09,Tuesday,,,,,,,,,,
9,2018-01-10,Wednesday,,,,,,,,,,
10,2018-01-11,Thursday,,,,,,,,,,
11,2018-01-12,Friday,,,,,,,,,,
12,2018-01-13,Saturday,,,,,,,,,,
13,2018-01-14,Sunday,,,,,,,,,,
14,2018-01-15,Monday,,,,,,,,,,
15,2018-01-16,Tuesday,,,,,,,,,,
16,2018-01-17,Wednesday,,,,,,,,,,
17,2018-01-18,Thursday,,,,,,,,,,
18,2018-01-19,Friday,,,,,,,,,,
19,2018-01-20,Saturday,,,,,,,,,,
20,2018-01-21,Sunday,,,,,,,,,,
21,2018-01-22,Monday,,,,,,,,,,
22,2018-01-23,Tuesday,,,,,,,,,,
23,2018-01-24,Wednesday,,,,,,,,,,
24,2018-01-25,Thursday,,,,,,,,,,
25,2018-01-26,Friday,,,,,,,,,,
26,2018-01-27,Saturday,,,,,,,,,,
27,2018-01-28,Sunday,,,,,,,,,,
28,2018-01-29,Monday,,,,,,,,,,
29,2018-01-30,Tuesday,,,,,,,,,,
30,2018-01-31,Wednesday,,,,,,,,,,
31,2018-02-01,Thursday,,,,,,,,,,
32,2018-02-02,Friday,,,,,,,,,,
33,2018-02-03,Saturday,,,,,,,,,,
34,2018-02-04,Sunday,,,,,,,,,,
35,2018-02-05,Monday,,,,,,,,,,
36,2018-02-06,Tuesday,,,,,,,,,,
37,2018-02-07,Wednesday,,,,,,,,,,
38,2018-02-08,Thursday,,,,,,,,,,
39,2018-02-09,Friday,,,,,,,,,,
40,2018-02-10,Saturday,,,,,,,,,,
41,2018-02-11,Sunday,,,,,,Carnaval,,,,
42,2018-02-12,Monday,,,,,Carnaval,,,,,
43,2018-02-13,Tuesday,Carnaval,,,,,,,,,
44,2018-02-14,Wednesday,,,Carnaval,,,,,,,
45,2018-02-15,Thursday,,,,Carnaval,,,,,,
46,2018-02-16,Friday,,,,,,,,,,
47,2018-02-17,Saturday,,,,,,,,,,
48,2018-02-18,Sunday,,,,,,,,,,
49,2018-02-19,Monday,,,,,,,,,,
50,2018-02-20,Tuesday,,,,,,,,,,
51,2018-02-21,Wednesday,,,,,,,,,,
52,2018-02-22,Thursday,,,,,,,,,,
53,2018-02-23,Friday,,,,,,,,,,
54,2018-02-24,Saturday,,,,,,,,,,
55,2018-02-25,Sunday,,,,,,,,,,
56,2018-02-26,Monday,,,,,,,,,,
57,2018-02-27,Tuesday,,,,,,,,,,
58,2018-02-28,Wednesday,,,,,,,,,,
59,2018-03-01,Thursday,,,,,,,,,,
60,2018-03-02,Friday,,,,,,,,,,
61,2018-03-03,Saturday,,,,,,,,,,
62,2018-03-04,Sunday,,,,,,,,,,
63,2018-03-05,Monday,,,,,,,,,,
64,2018-03-06,Tuesday,,,,,,,,,,
65,2018-03-07,Wednesday,,,,,,,,,,
66,2018-03-08,Thursday,,,,,,,,,,
67,2018-03-09,Friday,,,,,,,,,,
68,2018-03-10,Saturday,,,,,,,,,,
69,2018-03-11,Sunday,,,,,,,,,,
70,2018-03-12,Monday,,,,,,,,,,
71,2018-03-13,Tuesday,,,,,,,,,,
72,2018-03-14,Wednesday,,,,,,,,,,
73,2018-03-15,Thursday,,,,,,,,,,
74,2018-03-16,Friday,,,,,,,,,,
75,2018-03-17,Saturday,,,,,,,,,,
76,2018-03-18,Sunday,,,,,,,,,,
77,2018-03-19,Monday,,,,,,,,,,
78,2018-03-20,Tuesday,,,,,,,,,,
79,2018-03-21,Wednesday,,,,,,,,,,
80,2018-03-22,Thursday,,,,,,,,,,
81,2018-03-23,Friday,,,,,,,,,,
82,2018-03-24,Saturday,,,,,,,,,,
83,2018-03-25,Sunday,,,,,,,,,,
84,2018-03-26,Monday,,,,,,,,,,
